word 1,word 2,kor_score
기준.n.01,지표.n.02,6.17
미디어.n.01,거래.n.02,1.83
미디어.n.01,이득.n.01,1.83
배당금.n.01,지불.n.02,5.25
배당금.n.01,산출.n.02,4.25
산출.n.02,계산.n.01,7.83
화폐.n.01,시장.n.04,6.25
석유수출기구,석유.n.01,8
석유.n.01,재고품.n.01,1.75
발표.n.01,생산.n.01,1.67
발표.n.01,경고.n.04,2.67
이익.n.02,경고.n.04,1.33
이익.n.02,손실.n.01,7.33
달러.n.01,엔.n.01,7.42
달러.n.01,불,8.33
달러.n.01,이익.n.02,4.17
달러.n.01,손실.n.01,3.75
컴퓨터.n.01,소프트웨어.n.01,6.83
네트워크.n.00,하드웨어.n.01,4.92
전화.n.07,장비.n.07,3.75
장비.n.07,제작자.n.01,3.42
사치품.n.01,자동차.n.01,3.58
다섯.n.01,월.n.03,1.58
보도.n.04,이득.n.01,1.58
투자자.n.01,소득.n.01,4.92
액체.n.01,물.n.01,7.17
야구.n.02,계절.n.01,2.67
게임.n.01,승리.n.01,6.17
게임.n.01,팀.n.01,6
마라톤.n.01,달리기.n.01,7.83
게임.n.01,시리즈.n.01,5.42
게임.n.01,패배.n.01,6.17
일곱.n.01,시리즈.n.01,1.92
해산물,바다.n.01,6.75
해산물,음식.n.01,7.33
해산물,바닷가재,7.75
바닷가재,음식.n.01,7.08
바닷가재,와인.n.01,4.83
음식.n.01,준비.n.01,4.42
비디오.n.01,보관소.n.00,1.08
시작하다,연도.n.01,3.25
시작하다,경기.n.11,3.67
게임.n.01,라운드.n.01,5.42
권투.n.01,라운드.n.01,5.75
챔피언십,토너먼트.n.01,6.67
싸움.n.01,패배.n.01,5.67
선.n.10,보험.n.01,1.42
낮.n.01,여름.n.01,3
여름.n.01,가뭄.n.01,3.92
여름.n.01,자연.n.01,5.17
낮.n.01,새벽.n.01,6.25
자연.n.01,환경.n.02,7.33
환경.n.02,생태학.n.01,6.75
자연.n.01,남자.n.02,1.92
남자.n.02,여자.n.02,7.5
남자.n.02,도지사.n.01,1.42
살인.n.01,과실치사.n.01,5.25
막장,드라마.n.01,4.58
오페라.n.01,공연.n.02,6.83
삶.n.01,교훈.n.02,3.58
초점.n.03,삶.n.01,2.92
생산.n.01,승무원.n.01,1.25
텔레비전.n.01,영화.n.01,4.92
애인.n.02,언쟁.n.01,2.25
시청자.n.01,연속극.n.01,4.33
가능성.n.01,소녀.n.02,1.58
인구.n.01,개발.n.01,2.25
도덕.n.01,중요성.n.01,3.42
도덕.n.01,결혼.n.01,2.33
멕시코.n.01,브라질.n.01,6.58
성별.n.01,평등.n.01,4.08
변화.n.01,태도.n.03,4.5
가족.n.01,계획.n.01,3.08
오페라.n.01,산업.n.01,2.08
설탕.n.01,접근.n.01,0.67
연습.n.03,기관.n.11,1.42
정부.n.08,문화.n.01,1.92
문제.n.06,도전.n.04,4.17
크기.n.01,두각.n.01,2.17
국가.n.01,시민.n.01,6.25
행성.n.02,사람들.n.00,1.92
개발.n.01,이슈.n.01,3.5
경험.n.01,음악.n.01,1.92
음악.n.01,프로젝트.n.01,2.75
유리.n.10,금속.n.01,4.25
알루미늄.n.01,금속.n.01,6.42
기회.n.03,신용.n.01,2.25
전시회.n.01,기념품.n.01,4.67
콘서트.n.01,거장.n.01,4.5
락,재즈.n.01,6.25
박물관.n.01,영화관.n.01,4.33
관찰.n.01,구조.n.08,3.42
우주.n.02,세계.n.02,5.17
보존.n.01,세계.n.02,2.83
입장.n.02,티켓.n.01,5.17
소나기.n.01,태풍.n.01,6.08
소나기.n.01,홍수.n.02,6.25
날씨.n.01,예보.n.01,6.42
재난.n.01,지역.n.03,5.25
도지사.n.01,사무실.n.01,2.92
건축.n.01,세기.n.03,1.75
